Callsign, Origin, Destination
HVN55,VTBS,EGLL
CSN461,KLAX,EDDF
DLH733,RKSI,EDDF
GTI5219,EHAM,VHHH
PIA701,VHHH,EGCC
AVA297,LEMD,SKMA
BOX523,VHHH,EDDP
BOX595,ZGSZ,EDDP
AFR6904,LFPG,KATL
CAL061,RCTP,EDDF
EVA087,RCTP,LFPG
MSR785,ZGGG,EDDF
NJE537Q,KMIA,LSGG
BAW28,VHHH,EGLL
CPA238,EGLL,VHHH
DLH773,VTBS,EDDF
CAL073,RCTP,EHAM
DLH727,RKSI,EDDM
BCS976,EBBR,KCVG
ETH3717,VHHH,EBLG
AJT980,EGLL,KCVG
CPA271,VHHH,EHAM
CPA289,VHHH,EDDF
AZA681,SAEZ,LIRF
CPA250,EGLL,VHHH
CPA255,VHHH,EGLL
AFR6906,LFPG,KORD
ICV64X,KLAX,ELLX
KAL8536,EDDF,RKSI
SIA325,EDDF,WSSS
KAL9906,EDDF,RKSI
BAW55,EGLL,FABA
KAL908,EGLL,RKSI
ABD4462,LFPG,KATL
AAR794,EDDF,RKSI
CFG946,EDDF,UAAA
IBE2836,VTBS,LEMD
CKS248,EDDP,KCVG
SAZ75,KMIA,LSGG
ACA7211,EDDF,CYYZ
BCS978,EBBR,KCVG
AVA287,LEMD,SKMA
DHK923,KMIA,EBBR
EVA078,EHAM,RCTP
BAW209,EGLL,KMIA
AEA487,ZGSZ,LEMD
KAL538,EDDF,RKSI
KAL902,LFPG,RKSI
AZG785,EDFH,KBNA
SIA346,WSSS,LSZH
ACA7201,EGLL,CYUL
WGN4400,EDDF,KORD
BOX510,EDDP,WSSS
AZA60M,KJFK,LIRF
ABW208,EHAM,OMDB
BOX578,EDDP,RKSI
CFG860,EDDF,UAAA
CFG912,EDDV,UAAA
SIA7971,EBBR,OMSJ
ICV8754,LIMC,UNNT
CFG866,EDDF,UAAA
SVR3628,UNNT,UUBW
ACA872,CYYZ,EDDF
BAW27F,EGLL,VHHH
N500XX,KBUR,EBBR
MPH8341,EHAM,FAOR
CMB359,KDOV,EDDP
CFG911,UAAA,EDDV
TAY802,UNNT,EBLG
DAL72,KATL,EHAM
AVA280,SKBO,LEMD
AAR790,LIMC,RKSI
DLH507,SBGR,EDDF
DLH431,KORD,EDDF
AFR459,SBGR,LFPG
ICV62X,KORD,ELLX
DLH732,EDDF,RKSI
ACA874,CYUL,EDDF
ICV6752,LIMC,VHHH
BAW20R,KORD,EGLL
MPH7341,EHAM,SBKP
PPFCC,SBGR,LPPT
CFG935,UAAA,EDDL
DAL3340,KORD,EDDF
AFR065,KLAX,LFPG
AFR4144,LFPG,SBGR
CHH740,EHAM,ZUCK
AFL103,KJFK,UUEE
PLF106,EPWA,KORD
RWZ4337,UUDD,UDYZ
BOX581,VHHH,EDDK
WZZ935C,ZGSZ,LHBP
BAW45B,KBOS,EGLL
DAL3342,KORD,EDDF
AFR007,KJFK,LFPG
WZZ915B,ZGSZ,LHBP
BAW284,KSFO,EGLL
KAL504,LFPG,RKSI
AUI2804,UAAA,UKBB
IBE2827,LEMD,ZGSZ
WZZ955G,ZGSZ,LHBP
ETH3720,FABB,EBLG
WZZ945D,ZGSZ,LHBP
BAW14K,KJFK,EGLL
ABW531,UUEE,RKSI
ABW404,KORD,UUEE
ABD394,OMDW,LEBL
ACA848,CYYZ,EGLL
SDM6542,UNNT,ULLI
